portfolio,scope,method,report,truth_union,estimated_union,union_relative_error,signed_union_error,state_entries
broad_awareness_control+crm_customer_list,combined,shared_map_campaign_specific_forward,full_2_edps,13505,12385,0.08293224731580896,-0.08293224731580896,87524
broad_awareness_control+crm_customer_list,combined,shared_map_campaign_specific_reverse,full_2_edps,13505,12383,0.08308034061458719,-0.08308034061458719,87524
broad_awareness_control+crm_customer_list,combined,shared_map_global_daily_state,full_2_edps,13505,12359,0.08485746019992595,-0.08485746019992595,87524
broad_awareness_control+crm_customer_list,combined,campaign_local_maps,full_2_edps,13505,12424,0.08004442798963347,-0.08004442798963347,90194
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_campaign_specific_forward,full_2_edps,13241,12149,0.08247111245374217,-0.08247111245374217,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_campaign_specific_reverse,full_2_edps,13241,12149,0.08247111245374217,-0.08247111245374217,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_global_daily_state,full_2_edps,13241,12113,0.08518994033683257,-0.08518994033683257,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,campaign_local_maps,full_2_edps,13241,12155,0.0820179744732271,-0.0820179744732271,90194
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_campaign_specific_forward,full_2_edps,1319,1458,0.10538286580742987,0.10538286580742987,87524
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_campaign_specific_reverse,full_2_edps,1319,1456,0.10386656557998483,0.10386656557998483,87524
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_global_daily_state,full_2_edps,1319,1481,0.12282031842304776,0.12282031842304776,87524
broad_awareness_control+crm_customer_list,crm_customer_list,campaign_local_maps,full_2_edps,1319,1442,0.0932524639878696,0.0932524639878696,90194
broad_awareness_control+crm_customer_list,combined,shared_map_campaign_specific_forward,weeks_5_12_5_edps,17309,16703,0.035010688081344964,-0.035010688081344964,87524
broad_awareness_control+crm_customer_list,combined,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,17309,16699,0.03524178173204691,-0.03524178173204691,87524
broad_awareness_control+crm_customer_list,combined,shared_map_global_daily_state,weeks_5_12_5_edps,17309,16632,0.03911260038130453,-0.03911260038130453,87524
broad_awareness_control+crm_customer_list,combined,campaign_local_maps,weeks_5_12_5_edps,17309,16722,0.03391299324051072,-0.03391299324051072,90194
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_campaign_specific_forward,weeks_5_12_5_edps,17266,16670,0.0345187072859956,-0.0345187072859956,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,17266,16666,0.03475037646241168,-0.03475037646241168,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_global_daily_state,weeks_5_12_5_edps,17266,16575,0.040020850225877445,-0.040020850225877445,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,campaign_local_maps,weeks_5_12_5_edps,17266,16676,0.034171203521371485,-0.034171203521371485,90194
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_campaign_specific_forward,weeks_5_12_5_edps,1260,1648,0.30793650793650795,0.30793650793650795,87524
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,1260,1631,0.29444444444444445,0.29444444444444445,87524
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_global_daily_state,weeks_5_12_5_edps,1260,1717,0.3626984126984127,0.3626984126984127,87524
broad_awareness_control+crm_customer_list,crm_customer_list,campaign_local_maps,weeks_5_12_5_edps,1260,1525,0.21031746031746032,0.21031746031746032,90194
broad_awareness_control+crm_customer_list,combined,shared_map_campaign_specific_forward,full_5_edps,17784,17354,0.024179037336932073,-0.024179037336932073,87524
broad_awareness_control+crm_customer_list,combined,shared_map_campaign_specific_reverse,full_5_edps,17784,17351,0.024347728295096717,-0.024347728295096717,87524
