campaign_id,scenario,day,basis,feature_set,best_dial,predicted_dial,absolute_dial_error
train_broad_awareness_control_0,broad_awareness_control,1,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,1,cumulative,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,3,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,3,cumulative,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,6,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,6,cumulative,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,9,same_day,full,0.0,0.0025275813300187494,0.0025275813300187494
train_broad_awareness_control_0,broad_awareness_control,9,cumulative,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,13,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_0,broad_awareness_control,13,cumulative,full,0.0,0.08694013514520665,0.08694013514520665
train_broad_awareness_control_1,broad_awareness_control,1,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_1,broad_awareness_control,1,cumulative,full,0.0,0.0,0.0
train_broad_awareness_control_1,broad_awareness_control,3,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_1,broad_awareness_control,3,cumulative,full,0.0,0.0,0.0
train_broad_awareness_control_1,broad_awareness_control,6,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_1,broad_awareness_control,6,cumulative,full,0.0,0.0,0.0
train_broad_awareness_control_1,broad_awareness_control,9,same_day,full,0.0,0.0015662514673193406,0.0015662514673193406
train_broad_awareness_control_1,broad_awareness_control,9,cumulative,full,0.0,0.007928515822892557,0.007928515822892557
train_broad_awareness_control_1,broad_awareness_control,13,same_day,full,0.0,0.0,0.0
train_broad_awareness_control_1,broad_awareness_control,13,cumulative,full,0.0,0.1291883828392032,0.1291883828392032
train_traffic_optimization_0,traffic_optimization,1,same_day,full,0.0,0.0,0.0
train_traffic_optimization_0,traffic_optimization,1,cumulative,full,0.0,0.0,0.0
train_traffic_optimization_0,traffic_optimization,3,same_day,full,0.11875,0.010875819796938524,0.10787418020306147
train_traffic_optimization_0,traffic_optimization,3,cumulative,full,0.11875,0.026319834134760745,0.09243016586523925
train_traffic_optimization_0,traffic_optimization,6,same_day,full,0.17812499999999998,0.0036540106905826875,0.1744709893094173
train_traffic_optimization_0,traffic_optimization,6,cumulative,full,0.059375,0.061354466022279286,0.0019794660222792887
train_traffic_optimization_0,traffic_optimization,9,same_day,full,0.059375,0.0034490944858875383,0.05592590551411246
train_traffic_optimization_0,traffic_optimization,9,cumulative,full,0.059375,0.07372173602716503,0.014346736027165033
train_traffic_optimization_0,traffic_optimization,13,same_day,full,0.11875,0.004544264143679588,0.1142057358563204
train_traffic_optimization_0,traffic_optimization,13,cumulative,full,0.11875,0.08922836431947967,0.029521635680520325
train_traffic_optimization_1,traffic_optimization,1,same_day,full,0.0,0.0,0.0
train_traffic_optimization_1,traffic_optimization,1,cumulative,full,0.0,0.0,0.0
train_traffic_optimization_1,traffic_optimization,3,same_day,full,0.11875,0.0,0.11875
train_traffic_optimization_1,traffic_optimization,3,cumulative,full,0.0,0.018677409449447457,0.018677409449447457
train_traffic_optimization_1,traffic_optimization,6,same_day,full,0.11875,0.01269599769275892,0.10605400230724107
train_traffic_optimization_1,traffic_optimization,6,cumulative,full,0.11875,0.0884816096156939,0.030268390384306093
train_traffic_optimization_1,traffic_optimization,9,same_day,full,0.059375,0.011102405314498132,0.048272594685501866
train_traffic_optimization_1,traffic_optimization,9,cumulative,full,0.11875,0.10579591444386582,0.01295408555613417
train_traffic_optimization_1,traffic_optimization,13,same_day,full,0.0,0.0,0.0
train_traffic_optimization_1,traffic_optimization,13,cumulative,full,0.11875,0.08796338558754835,0.030786614412451646
train_video_engagement_retargeting_0,video_engagement_retargeting,1,same_day,full,0.41562499999999997,0.37408161271894247,0.0415433872810575
train_video_engagement_retargeting_0,video_engagement_retargeting,1,cumulative,full,0.41562499999999997,0.37408161271894247,0.0415433872810575
train_video_engagement_retargeting_0,video_engagement_retargeting,3,same_day,full,0.475,0.4502004704999575,0.024799529500042494
train_video_engagement_retargeting_0,video_engagement_retargeting,3,cumulative,full,0.5343749999999999,0.5194069617015669,0.014968038298433073
train_video_engagement_retargeting_0,video_engagement_retargeting,6,same_day,full,0.475,0.4886903747080108,0.013690374708010822
train_video_engagement_retargeting_0,video_engagement_retargeting,6,cumulative,full,0.59375,0.5599318939317655,0.033818106068234544
