campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_1_3__2_edps,prefix,2,3,3239,3473,0.07224451991355356
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_1_12__2_edps,prefix,2,12,12720,19379,0.5235062893081761
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_5_12__2_edps,interval,2,8,11440,15494,0.35437062937062935
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_1_3__5_edps,prefix,5,3,5938,6840,0.1519029976423038
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_1_12__5_edps,prefix,5,12,17532,51850,1.957449235683322
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_7_13__5_edps,interval,5,7,17080,40783,1.3877634660421545
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,all_weeks__5_edps,prefix,5,13,17681,56640,2.2034387195294385
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,noncontiguous__5_edps,noncontiguous,5,6,14406,24287,0.6858947660696931
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_1_3__10_edps,prefix,10,3,10101,13294,0.3161073161073161
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_1_12__10_edps,prefix,10,12,17981,87803,3.8830988265391246
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,all_weeks__10_edps,prefix,10,13,17988,96840,4.383589059372915
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_5_12__10_edps,interval,10,8,17941,71050,2.960202887241514
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,weeks_7_13__10_edps,interval,10,7,17933,67529,2.7656276138961693
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,noncontiguous__10_edps,noncontiguous,10,6,17251,42454,1.460958784997971
venn_broad_awareness_control,broad_awareness_control,daily_full_venn,noncontiguous__2_edps,noncontiguous,2,6,8173,9962,0.2188914719197357
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_1_3__2_edps,prefix,2,3,3239,3239,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_1_12__2_edps,prefix,2,12,12720,12720,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_5_12__2_edps,interval,2,8,11440,11429,0.0009615384615384616
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_1_3__5_edps,prefix,5,3,5938,5938,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_1_12__5_edps,prefix,5,12,17532,17532,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_7_13__5_edps,interval,5,7,17080,16949,0.007669789227166276
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,all_weeks__5_edps,prefix,5,13,17681,17681,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,noncontiguous__5_edps,noncontiguous,5,6,14406,13415,0.06879078161876996
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_1_3__10_edps,prefix,10,3,10101,10101,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_1_12__10_edps,prefix,10,12,17981,17981,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,all_weeks__10_edps,prefix,10,13,17988,17988,0.0
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_recent,weeks_5_12__10_edps,interval,10,8,17941,17935,0.0003344295189788752
