scenario,scenario_label,campaign,replicate,report,week_count,edp_count,method,method_label,truth_union,estimate,relative_error,signed_error,mean_edp_reach_fraction,reference_full_intersection
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 2 EDPs",3,2,baseline_vid,Existing VID,9410000.0,9407258.333333334,0.00029135671271690177,-0.00029135671271690177,0.039875,80041.93572100335
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 2 EDPs",3,2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,9410000.0,9407721.629702315,0.00024212224204944374,-0.00024212224204944374,0.039875,80041.93572100335
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 2 EDPs",3,2,two_group_latent_mixture,Two-group mixture,9410000.0,9407426.3837834,0.00027349800388947306,-0.00027349800388947306,0.039875,80041.93572100335
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 2 EDPs",3,2,pairwise_maxent_direct,Direct pair + higher-order inference,9410000.0,9432957.42768757,0.002439684132579219,0.002439684132579219,0.039875,80041.93572100335
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 2 EDPs",3,2,pairwise_maxent_mixture,Mixture pair + higher-order inference,9410000.0,9428314.298184618,0.0019462591056980186,0.0019462591056980186,0.039875,80041.93572100335
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 5-12, 2 EDPs",8,2,baseline_vid,Existing VID,81780000.0,81885262.5,0.0012871423330887747,0.0012871423330887747,0.43425,10809539.96859827
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 5-12, 2 EDPs",8,2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,81780000.0,84247407.72207063,0.030171285425172834,0.030171285425172834,0.43425,10809539.96859827
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 5-12, 2 EDPs",8,2,two_group_latent_mixture,Two-group mixture,81780000.0,84972241.96101633,0.0390345067377883,0.0390345067377883,0.43425,10809539.96859827
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 5-12, 2 EDPs",8,2,pairwise_maxent_direct,Direct pair + higher-order inference,81780000.0,82552256.2518702,0.009443094300198093,0.009443094300198093,0.43425,10809539.96859827
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 5-12, 2 EDPs",8,2,pairwise_maxent_mixture,Mixture pair + higher-order inference,81780000.0,85123186.44477303,0.04088024510605323,0.04088024510605323,0.43425,10809539.96859827
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 2 EDPs",13,2,baseline_vid,Existing VID,100370000.0,100817290.0,0.004456411278270399,0.004456411278270399,0.5807083333333334,18509814.464823987
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 2 EDPs",13,2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,100370000.0,103397246.58470185,0.03016087062570341,0.03016087062570341,0.5807083333333334,18509814.464823987
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 2 EDPs",13,2,two_group_latent_mixture,Two-group mixture,100370000.0,106466965.7399493,0.0607449012648132,0.0607449012648132,0.5807083333333334,18509814.464823987
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 2 EDPs",13,2,pairwise_maxent_direct,Direct pair + higher-order inference,100370000.0,101538272.34291852,0.011639656699397382,0.011639656699397382,0.5807083333333334,18509814.464823987
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 2 EDPs",13,2,pairwise_maxent_mixture,Mixture pair + higher-order inference,100370000.0,106669571.44886832,0.06276348957724738,0.06276348957724738,0.5807083333333334,18509814.464823987
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 7-13, 5 EDPs",7,5,baseline_vid,Existing VID,116340000.0,116798992.49175097,0.0039452681085694555,0.0039452681085694555,0.4957166666666667,339999.0163497177
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 7-13, 5 EDPs",7,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,116340000.0,119827771.63399883,0.029979126989847223,0.029979126989847223,0.4957166666666667,339999.0163497177
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 7-13, 5 EDPs",7,5,two_group_latent_mixture,Two-group mixture,116340000.0,119999999.99999988,0.031459515214026824,0.031459515214026824,0.4957166666666667,339999.0163497177
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 7-13, 5 EDPs",7,5,pairwise_maxent_direct,Direct pair + higher-order inference,116340000.0,119066535.84504494,0.023435927841197704,0.023435927841197704,0.4957166666666667,339999.0163497177
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 7-13, 5 EDPs",7,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,116340000.0,119999999.99532543,0.03145951517384761,0.03145951517384761,0.4957166666666667,339999.0163497177
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,baseline_vid,Existing VID,118790000.0,118903809.6141665,0.0009580740312021061,0.0009580740312021061,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,118790000.0,119999688.58543237,0.010183421040764085,0.010183421040764085,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,two_group_latent_mixture,Two-group mixture,118790000.0,119999999.99999997,0.010186042596177879,0.010186042596177879,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,pairwise_maxent_direct,Direct pair + higher-order inference,118790000.0,118805223.00973038,0.00012815059963282898,0.00012815059963282898,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,118790000.0,119999999.99988158,0.010186042595181247,0.010186042595181247,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,baseline_vid,Existing VID,97370000.0,97405826.16945052,0.00036793847643546747,0.00036793847643546747,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,97370000.0,90408568.46283217,0.07149462398241586,-0.07149462398241586,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,two_group_latent_mixture,Two-group mixture,97370000.0,94008333.7092446,0.03452466150513922,-0.03452466150513922,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,pairwise_maxent_direct,Direct pair + higher-order inference,97370000.0,105890485.7688424,0.0875062726593653,0.0875062726593653,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,97370000.0,103927751.67955278,0.06734878997178576,0.06734878997178576,0.28191666666666665,0.9365647492116302
