scenario,scenario_label,variant,similarity_multiplier,matchability_shift,replicate,report,edp_count,method,method_label,relative_error
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.009584172822923662
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.01999739825674951
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.0404661129486337
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.002834531244998687
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.041685564703963826
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.00374742249153161
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.01394169835234386
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.013941698352344236
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.0060715138963702165
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.01394169835134705
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 10 EDPs",10,baseline_vid,Existing VID,0.00026694579658114977
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.00033344448149370706
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,0.00033344448149370706
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,0.00033344448149383126
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,0,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.0003334444803399726
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.0017799119647859602
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.021139050665982283
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.08021335455633433
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.0076249514766664256
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.08260968256087936
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.0020657273635872734
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.010015991919871688
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.010015991919871814
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.005786866776463199
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.010015991918909716
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 10 EDPs",10,baseline_vid,Existing VID,5.423543094813759e-05
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,8.33402783566539e-05
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,8.33402783565297e-05
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,8.334027732130944e-05
broad_awareness_control,Broad awareness / reach control,central,1.0,0.0,1,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,8.150996639622938e-05
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.008630263729107879
