campaign,scenario,edp,global_email_reservation_capacity,proprietary_identifiers,global_reservation_feasible,future_aware_reservation_capacity,future_aware_reservation_feasible,mean_cross_mode_share_of_true_pair_overlap
provider_eval_broad_awareness_control,broad_awareness_control,0,2076,1991,True,7474,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,1,2076,2746,False,7760,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,2,2076,3122,False,8574,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,3,2076,3019,False,9581,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,4,2076,3873,False,9735,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,5,2076,3807,False,10364,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,6,2076,6295,False,10073,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,7,2076,5892,False,10812,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,8,2076,6495,False,11201,True,0.435801778087824
provider_eval_broad_awareness_control,broad_awareness_control,9,2076,6558,False,11630,True,0.435801778087824
provider_eval_traffic_optimization,traffic_optimization,0,5781,1142,True,9542,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,1,5781,1295,True,9988,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,2,5781,1446,True,10433,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,3,5781,1494,True,10774,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,4,5781,1528,True,11101,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,5,5781,1559,True,11426,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,6,5781,1407,True,11567,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,7,5781,1274,True,11727,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,8,5781,1113,True,11860,True,0.4353595877565499
provider_eval_traffic_optimization,traffic_optimization,9,5781,908,True,11948,True,0.4353595877565499
provider_eval_video_engagement_retargeting,video_engagement_retargeting,0,9166,613,True,10693,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,1,9166,754,True,11001,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,2,9166,813,True,11226,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,3,9166,824,True,11404,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,4,9166,842,True,11589,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,5,9166,813,True,11726,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,6,9166,724,True,11804,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,7,9166,634,True,11881,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,8,9166,532,True,11945,True,0.41185183121591473
provider_eval_video_engagement_retargeting,video_engagement_retargeting,9,9166,406,True,11986,True,0.41185183121591473
provider_eval_lead_generation,lead_generation,0,9641,336,True,11016,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,1,9641,376,True,11169,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,2,9641,424,True,11331,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,3,9641,449,True,11469,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,4,9641,449,True,11582,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,5,9641,457,True,11704,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,6,9641,446,True,11806,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,7,9641,403,True,11876,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,8,9641,346,True,11933,True,0.4765768358069503
provider_eval_lead_generation,lead_generation,9,9641,276,True,11976,True,0.4765768358069503
provider_eval_sales_prospecting,sales_prospecting,0,8499,539,True,10379,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,1,8499,634,True,10667,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,2,8499,706,True,10933,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,3,8499,786,True,11206,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,4,8499,780,True,11393,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,5,8499,791,True,11598,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,6,8499,685,True,11685,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,7,8499,633,True,11826,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,8,8499,530,True,11917,True,0.4701729555672082
provider_eval_sales_prospecting,sales_prospecting,9,8499,381,True,11961,True,0.4701729555672082
provider_eval_website_retargeting,website_retargeting,0,10794,233,True,11273,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,1,10794,306,True,11429,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,2,10794,329,True,11534,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,3,10794,368,True,11656,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,4,10794,353,True,11724,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,5,10794,359,True,11812,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,6,10794,332,True,11868,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,7,10794,295,True,11914,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,8,10794,260,True,11961,True,0.46422357737201225
provider_eval_website_retargeting,website_retargeting,9,10794,198,True,11982,True,0.46422357737201225
provider_eval_crm_customer_list,crm_customer_list,0,11113,74,True,11294,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,1,11113,118,True,11409,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,2,11113,146,True,11507,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,3,11113,175,True,11607,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,4,11113,172,True,11675,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,5,11113,167,True,11740,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,6,11113,164,True,11808,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,7,11113,160,True,11875,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,8,11113,158,True,11943,True,0.48543933949605295
provider_eval_crm_customer_list,crm_customer_list,9,11113,111,True,11967,True,0.48543933949605295
provider_eval_catalog_retargeting,catalog_retargeting,0,10054,257,True,11177,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,1,10054,344,True,11364,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,2,10054,367,True,11487,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,3,10054,399,True,11619,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,4,10054,394,True,11714,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,5,10054,377,True,11797,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,6,10054,357,True,11877,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,7,10054,298,True,11918,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,8,10054,242,True,11962,True,0.4578322356199356
provider_eval_catalog_retargeting,catalog_retargeting,9,10054,167,True,11987,True,0.4578322356199356
provider_eval_lookalike_prospecting,lookalike_prospecting,0,6681,976,True,9616,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,1,6681,1167,True,10087,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,2,6681,1300,True,10500,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,3,6681,1348,True,10828,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,4,6681,1352,True,11112,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,5,6681,1382,True,11422,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,6,6681,1258,True,11578,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,7,6681,1114,True,11714,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,8,6681,996,True,11876,True,0.44946215461115
provider_eval_lookalike_prospecting,lookalike_prospecting,9,6681,790,True,11950,True,0.44946215461115
provider_eval_advantage_audience_expansion,advantage_audience_expansion,0,5705,1195,True,8995,True,0.4554150719093041
provider_eval_advantage_audience_expansion,advantage_audience_expansion,1,5705,1421,True,9568,True,0.4554150719093041
provider_eval_advantage_audience_expansion,advantage_audience_expansion,2,5705,1636,True,10129,True,0.4554150719093041
provider_eval_advantage_audience_expansion,advantage_audience_expansion,3,5705,1723,True,10563,True,0.4554150719093041
provider_eval_advantage_audience_expansion,advantage_audience_expansion,4,5705,1692,True,10879,True,0.4554150719093041
provider_eval_advantage_audience_expansion,advantage_audience_expansion,5,5705,1683,True,11216,True,0.4554150719093041
provider_eval_advantage_audience_expansion,advantage_audience_expansion,6,5705,1592,True,11472,True,0.4554150719093041
provider_eval_advantage_audience_expansion,advantage_audience_expansion,7,5705,1432,True,11659,True,0.4554150719093041
