day,edp,event_id,account_id,reference_id,local_rank,symbolic_vid,assignment_reason,is_new_account,warning
1,EDP_A,a-imp-001,a-alice,101,0,VID(10000000+Feistel(0)),new_reference_anchor,True,
1,EDP_A,a-imp-002,a-bob,102,1,VID(10000000+Feistel(1)),new_reference_anchor,True,
1,EDP_A,a-imp-003,a-carol,,2,VID(10000000+Feistel(2)),new_shared_fallback_rank,True,
1,EDP_A,a-imp-004,a-dan,,3,VID(10000000+Feistel(3)),new_edp_exclusive_rank,True,
1,EDP_B,b-imp-001,b-alice,101,0,VID(10000000+Feistel(0)),matched_existing_reference_anchor,True,
1,EDP_B,b-imp-002,b-carol,,2,VID(10000000+Feistel(2)),new_shared_fallback_rank,True,
1,EDP_B,b-imp-003,b-erin,,4,VID(10000000+Feistel(4)),new_edp_exclusive_rank,True,
2,EDP_A,a-imp-005,a-alice,101,0,VID(10000000+Feistel(0)),reused_frozen_account_mapping,False,
2,EDP_A,a-imp-006,a-carol,,2,VID(10000000+Feistel(2)),reused_frozen_account_mapping,False,
2,EDP_A,a-imp-007,a-eve,,5,VID(10000000+Feistel(5)),filled_opposite_edp_only_rank,True,
2,EDP_B,b-imp-004,b-alice,101,0,VID(10000000+Feistel(0)),reused_frozen_account_mapping,False,
2,EDP_B,b-imp-005,b-bob,102,1,VID(10000000+Feistel(1)),matched_existing_reference_anchor,True,
2,EDP_B,b-imp-006,b-eve,303,5,VID(10000000+Feistel(5)),new_reference_anchor,True,
3,EDP_A,a-imp-008,a-eve,303,5,VID(10000000+Feistel(5)),reused_frozen_account_mapping,False,
3,EDP_A,a-imp-009,a-frank,,6,VID(10000000+Feistel(6)),new_edp_exclusive_rank,True,
3,EDP_B,b-imp-007,b-eve,303,5,VID(10000000+Feistel(5)),reused_frozen_account_mapping,False,
3,EDP_B,b-imp-008,b-grace,,7,VID(10000000+Feistel(7)),new_edp_exclusive_rank,True,
4,EDP_A,a-imp-010,a-heidi,,9,VID(10000000+Feistel(9)),new_edp_exclusive_rank,True,
4,EDP_B,b-imp-009,b-heidi,404,8,VID(10000000+Feistel(8)),new_reference_anchor,True,
5,EDP_A,a-imp-011,a-heidi,404,9,VID(10000000+Feistel(9)),reused_frozen_account_mapping,False,late_reference_conflict_preserved_existing_vid; the overlap target must be recovered with other new assignments
5,EDP_B,b-imp-010,b-ivan,,9,VID(10000000+Feistel(9)),filled_opposite_edp_only_rank,True,
