campaign_id,objective,population,split,publisher_a_reach,publisher_b_reach,true_overlap,true_union,fingerprint_a_reach,fingerprint_b_reach,fingerprint_matches,true_overlap_rate,fingerprint_match_rate_from_a,fingerprint_match_rate_from_b,fingerprint_inferred_overlap_rate
reach-train-01,reach,broad_reach_population,train,80085,64182,36493,107774,24210,51270,5274,0.5685862079710823,0.2178438661710037,0.10286717378583968,0.5706428593686704
reach-train-02,reach,broad_reach_population,train,80207,64384,38304,106287,23971,51501,5481,0.5949304174950298,0.22865128697175754,0.10642511795887459,0.5911794855864813
reach-train-03,reach,broad_reach_population,train,80070,64204,38625,105649,24264,51468,5631,0.60159803127531,0.23207220573689416,0.10940778736302169,0.6090612215230619
reach-train-04,reach,broad_reach_population,train,79763,64323,31982,112104,24118,51429,4634,0.4972093963279076,0.19213865162948834,0.09010480468218321,0.5002962479292875
reach-train-05,reach,broad_reach_population,train,79441,64137,37872,105706,23724,51267,5442,0.5904859909256748,0.22938796155791605,0.1061501550705132,0.5892334637832557
reach-train-06,reach,broad_reach_population,train,79636,63939,19825,123750,23848,51148,2899,0.31006115203553386,0.12156155652465615,0.056678658012043484,0.31486173453517335
reach-train-07,reach,broad_reach_population,train,80068,64257,31884,112441,23966,51555,4569,0.4961949670852981,0.1906450805307519,0.08862379982542916,0.49378537228110037
reach-train-08,reach,broad_reach_population,train,80304,63966,29106,115164,24141,51160,4168,0.45502298095863425,0.17265233420322273,0.08146989835809226,0.4524973336529476
reach-train-09,reach,broad_reach_population,train,79996,64242,32654,111584,23988,51434,4646,0.5082967529030852,0.19368017342004334,0.09032935412373139,0.5022242285247795
reach-train-10,reach,broad_reach_population,train,80167,63932,25906,118193,23922,51261,3743,0.4052117875242445,0.1564668505977761,0.07301847408361133,0.40657347737526683
reach-evaluation-01,reach,broad_reach_population,evaluation,79876,63978,34771,109083,23776,51164,4935,0.5434836975210229,0.20756224764468373,0.09645453834727542,0.5356659059885169
reach-evaluation-02,reach,broad_reach_population,evaluation,79923,63782,29835,113870,24073,51054,4340,0.4677652002132263,0.18028496656004653,0.08500803071257884,0.4725296931562022
reach-evaluation-03,reach,broad_reach_population,evaluation,79967,64332,35738,108561,23918,51519,5202,0.555524466828328,0.21749310142988545,0.10097245676352413,0.5615401355468508
reach-evaluation-04,reach,broad_reach_population,evaluation,80030,64286,35678,108638,24092,51469,5206,0.5549886444949134,0.21608832807570977,0.10114826400357496,0.562374043769682
reach-evaluation-05,reach,broad_reach_population,evaluation,79958,64010,39446,104522,24164,51248,5893,0.6162474613341665,0.24387518622744578,0.11498985326256635,0.6393315280598518
reach-evaluation-06,reach,broad_reach_population,evaluation,80602,64164,24656,120110,24172,51288,3562,0.38426532011719966,0.14736058249213965,0.0694509436905319,0.3855138568529255
reach-evaluation-07,reach,broad_reach_population,evaluation,79921,63993,29758,114156,23917,51222,4176,0.46501961152001,0.17460383827403103,0.08152746866580766,0.45317456596815275
reach-evaluation-08,reach,broad_reach_population,evaluation,80021,64133,29332,114822,24118,51404,4227,0.45736204450127077,0.17526328882991957,0.08223095478951055,0.45770768039334925
reach-evaluation-09,reach,broad_reach_population,evaluation,80159,64120,38595,105684,23996,51175,5510,0.6019182782283219,0.2296216036006001,0.10766976062530532,0.5967543494836072
reach-evaluation-10,reach,broad_reach_population,evaluation,80026,63790,26503,117313,24199,50906,3873,0.41547264461514344,0.1600479358651184,0.07608140494244293,0.4216308721325182
traffic-evaluation-01,traffic,response_population,evaluation,79727,64087,12403,131411,23703,51467,1691,0.19353379000421303,0.07134118044129435,0.032856004818621644,0.18323615640544194
traffic-evaluation-02,traffic,response_population,evaluation,79911,64221,14267,129865,24093,51273,2085,0.22215474688964668,0.0865396588220645,0.0406646773155462,0.2254584429807488
traffic-evaluation-03,traffic,response_population,evaluation,80216,64323,15417,129122,24061,51520,2206,0.23968098502868337,0.09168363742155355,0.04281832298136646,0.23816433382218563
traffic-evaluation-04,traffic,response_population,evaluation,80065,63827,15404,128488,24022,51102,2235,0.2413398718410704,0.09303971359587045,0.043736057297170366,0.24317034066043106
traffic-evaluation-05,traffic,response_population,evaluation,79779,64382,11606,132555,23907,51610,1697,0.18026777670777547,0.0709833939850253,0.032881224568882,0.18304374238486257
traffic-evaluation-06,traffic,response_population,evaluation,80026,64103,10736,133393,24146,51411,1592,0.1674804611328643,0.06593224550650212,0.03096613565190329,0.17246549390130816
traffic-evaluation-07,traffic,response_population,evaluation,79836,64192,10998,133030,23811,51406,1632,0.17132976071784647,0.0685397505354668,0.031747266856009024,0.1765536723163842
traffic-evaluation-08,traffic,response_population,evaluation,80220,63715,12817,131118,24093,50977,1864,0.20116142195715295,0.07736687004524136,0.036565509935853426,0.2031616486611386
traffic-evaluation-09,traffic,response_population,evaluation,80252,64103,13915,130440,24231,51339,2047,0.21707252390683743,0.08447856052164583,0.03987222189758274,0.22175682538692074
traffic-evaluation-10,traffic,response_population,evaluation,80089,64398,9369,135118,23928,51621,1321,0.14548588465480294,0.055207288532263456,0.02559036051219465,0.1424518014707151
